epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,11639.3,1.12834,5.47825,1.83203,0.87453,0.86997,0.90939,0.64233,1.16356,6.21661,1.81251,0.00231071,0.00231071,0.00231071
105,11739.8,1.07506,5.24255,1.81431,0.86891,0.86102,0.89791,0.63185,1.17544,6.38327,1.8175,0.00222497,0.00222497,0.00222497
106,11839.8,1.07694,5.10144,1.76873,0.8945,0.89105,0.93416,0.66389,1.13783,5.78678,1.77284,0.00214046,0.00214046,0.00214046
107,11940.1,1.11483,5.14582,1.79885,0.89276,0.90286,0.93912,0.66748,1.13646,5.87021,1.78731,0.00205723,0.00205723,0.00205723
108,12040.1,1.07733,5.09926,1.75851,0.88374,0.87579,0.94117,0.67597,1.11647,5.78663,1.77065,0.00197532,0.00197532,0.00197532
109,12140.2,1.06385,5.06099,1.73689,0.91664,0.8438,0.93834,0.67229,1.12578,5.79215,1.76058,0.00189475,0.00189475,0.00189475
110,12240.1,1.03594,4.95016,1.75735,0.9157,0.83836,0.94246,0.67941,1.12304,5.88735,1.7622,0.00181557,0.00181557,0.00181557
111,12339.8,1.0803,5.00258,1.77384,0.903,0.84932,0.93823,0.67872,1.11632,6.03238,1.77999,0.0017378,0.0017378,0.0017378
112,12440.1,1.05762,5.01064,1.77348,0.88491,0.85371,0.93468,0.66605,1.12452,6.00259,1.79373,0.00166149,0.00166149,0.00166149
113,12540,1.04492,4.86955,1.71488,0.89734,0.86439,0.94147,0.67538,1.12074,5.70201,1.77456,0.00158667,0.00158667,0.00158667
114,12640.5,1.04735,4.85055,1.7514,0.90523,0.89029,0.94569,0.67323,1.12723,5.73846,1.76346,0.00151336,0.00151336,0.00151336
115,12754.5,1.02836,4.823,1.78912,0.90908,0.87515,0.93524,0.67447,1.12103,5.74304,1.75359,0.00144161,0.00144161,0.00144161
